MSZoning,LotFrontage,LotArea,Street,LotShape,Utilities,Neighborhood,Condition1,BldgType,HouseStyle,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,ExterCond,Foundation,BsmtCond,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageCond,PoolArea,SaleType,SaleCondition,SalePrice
C (all),50,8500,Pave,Reg,AllPub,IDOTRR,Feedr,1Fam,2Story,4,1920,1950,Gambrel,CompShg,BrkFace,None,Fa,BrkTil,TA,649,GasA,TA,N,SBrkr,1,3,1,TA,6,Typ,0,Detchd,1920,Unf,1,250,Fa,0,WD,Normal,40000
RL,NA,8544,Pave,IR1,AllPub,Sawyer,Norm,1Fam,1Story,6,1966,2006,Gable,CompShg,HdBoard,None,TA,CBlock,TA,1228,GasA,Gd,Y,SBrkr,1,3,1,Gd,6,Typ,0,Attchd,1966,Unf,1,271,TA,0,WD,Normal,149350
RL,85,11049,Pave,Reg,AllPub,CollgCr,Norm,1Fam,1Story,5,2007,2007,Gable,CompShg,VinylSd,None,TA,PConc,TA,1234,GasA,Ex,Y,SBrkr,2,3,1,Gd,7,Typ,0,Attchd,2007,RFn,2,484,TA,0,WD,Normal,179900
RL,70,10552,Pave,IR1,AllPub,NAmes,Norm,1Fam,1Story,5,1959,1959,Hip,CompShg,BrkFace,None,TA,CBlock,TA,1398,GasA,Gd,Y,SBrkr,1,4,1,Gd,6,Typ,1,Attchd,1959,RFn,2,447,TA,0,WD,Normal,165500
RL,60,7313,Pave,Reg,AllPub,NridgHt,Norm,TwnhsE,1Story,5,2005,2005,Hip,CompShg,MetalSd,BrkFace,TA,PConc,TA,1561,GasA,Ex,Y,SBrkr,2,2,1,Ex,6,Typ,1,Attchd,2005,Fin,2,556,TA,0,WD,Normal,277500
RL,108,13418,Pave,Reg,AllPub,NridgHt,Norm,1Fam,2Story,5,2004,2005,Gable,CompShg,VinylSd,Stone,TA,PConc,TA,1117,GasA,Ex,Y,SBrkr,3,4,1,Gd,9,Typ,1,BuiltIn,2004,Fin,3,691,TA,0,WD,Normal,309000
RL,112,10859,Pave,Reg,AllPub,CollgCr,Norm,1Fam,1Story,5,1994,1995,Gable,CompShg,VinylSd,None,TA,PConc,TA,1097,GasA,Ex,Y,SBrkr,1,3,1,TA,6,Typ,0,Attchd,1995,Unf,2,672,TA,0,WD,Normal,145000
RL,74,8532,Pave,Reg,AllPub,NAmes,Norm,1Fam,1Story,6,1954,1990,Hip,CompShg,Wd Sdng,BrkFace,TA,CBlock,TA,1297,GasA,Gd,Y,SBrkr,1,3,1,TA,5,Typ,1,Attchd,1954,Fin,2,498,TA,0,WD,Normal,153000
RL,68,7922,Pave,Reg,AllPub,NAmes,Norm,1Fam,1Story,7,1953,2007,Gable,CompShg,VinylSd,None,Gd,CBlock,TA,1057,GasA,TA,Y,SBrkr,1,3,1,Gd,5,Typ,0,Detchd,1953,Unf,1,246,TA,0,WD,Abnorml,109000
RL,65,6040,Pave,Reg,AllPub,Edwards,Norm,Duplex,1Story,5,1955,1955,Gable,CompShg,AsbShng,None,TA,PConc,NA,0,GasA,TA,N,FuseP,2,2,2,Fa,6,Typ,0,NA,NA,NA,0,0,NA,0,WD,AdjLand,82000
RL,84,8658,Pave,Reg,AllPub,NAmes,Norm,1Fam,1Story,5,1965,1965,Gable,CompShg,Wd Sdng,BrkFace,TA,CBlock,TA,1088,GasA,Ex,Y,SBrkr,2,3,1,TA,6,Typ,1,Attchd,1965,RFn,2,440,TA,0,WD,Abnorml,160000
RL,115,16905,Pave,Reg,AllPub,Timber,Norm,1Fam,1Story,6,1959,1959,Gable,CompShg,VinylSd,None,Gd,CBlock,TA,1350,GasA,Gd,Y,SBrkr,1,2,1,TA,5,Typ,2,Attchd,1959,RFn,1,308,TA,0,WD,Normal,170000
RL,NA,9180,Pave,IR1,AllPub,SawyerW,Norm,1Fam,SFoyer,7,1983,1983,Gable,CompShg,HdBoard,None,TA,CBlock,TA,840,GasA,Gd,Y,SBrkr,1,2,1,Gd,5,Typ,0,Attchd,1983,RFn,2,504,Gd,0,WD,Normal,144000
RL,NA,9200,Pave,IR1,AllPub,CollgCr,Norm,1Fam,1Story,6,1975,1980,Hip,CompShg,VinylSd,None,TA,CBlock,TA,938,GasA,TA,Y,SBrkr,1,3,1,TA,5,Typ,0,Detchd,1977,Unf,1,308,TA,0,WD,Normal,130250
RL,70,7945,Pave,Reg,AllPub,NAmes,Norm,1Fam,1Story,6,1959,1959,Gable,CompShg,BrkFace,None,TA,CBlock,TA,1150,GasA,Ex,Y,FuseA,1,3,1,TA,6,Typ,0,Attchd,1959,RFn,1,300,TA,0,WD,Normal,141000
RL,61,7658,Pave,Reg,AllPub,NridgHt,Norm,TwnhsE,1Story,5,2005,2005,Hip,CompShg,MetalSd,BrkFace,TA,PConc,TA,1752,GasA,Ex,Y,SBrkr,2,2,1,Ex,6,Typ,1,Attchd,2005,RFn,2,576,TA,0,WD,Normal,319900
RL,48,12822,Pave,IR1,AllPub,Mitchel,Norm,1Fam,1.5Fin,5,2003,2003,Gable,CompShg,VinylSd,None,TA,PConc,TA,1434,GasA,Ex,Y,SBrkr,1,1,1,Gd,6,Typ,1,Attchd,2003,RFn,2,670,TA,0,WD,Abnorml,239686
FV,84,11096,Pave,Reg,AllPub,Somerst,Norm,1Fam,1Story,5,2006,2006,Gable,CompShg,VinylSd,None,TA,PConc,TA,1656,GasA,Ex,Y,SBrkr,2,3,1,Gd,7,Typ,0,Attchd,2006,RFn,3,826,TA,0,WD,Normal,249700
RM,33,4456,Pave,Reg,AllPub,OldTown,Norm,2fmCon,2Story,5,1920,2008,Gable,CompShg,MetalSd,None,TA,BrkTil,TA,736,GasA,Gd,Y,SBrkr,2,2,3,TA,8,Typ,0,NA,NA,NA,0,0,NA,0,New,Partial,113000
RL,66,7742,Pave,Reg,AllPub,Sawyer,Norm,1Fam,1Story,7,1966,1966,Gable,CompShg,HdBoard,None,TA,CBlock,TA,955,GasA,Ex,Y,SBrkr,1,3,1,TA,6,Typ,0,Attchd,1966,Unf,1,386,TA,0,WD,Normal,127000
RL,NA,13869,Pave,IR2,AllPub,Gilbert,Norm,1Fam,2Story,6,1997,1997,Gable,CompShg,VinylSd,None,TA,PConc,TA,794,GasA,Gd,Y,SBrkr,2,3,1,TA,6,Typ,0,Attchd,1997,Fin,2,388,TA,0,WD,Normal,177000
RM,52,6240,Pave,Reg,AllPub,BrkSide,Norm,1Fam,1.5Fin,6,1934,1950,Gable,CompShg,Wd Sdng,None,TA,PConc,TA,816,GasA,TA,Y,SBrkr,1,3,1,TA,6,Typ,1,Detchd,1985,Unf,2,528,TA,0,WD,Normal,114500
RM,110,8472,Grvl,IR2,AllPub,IDOTRR,RRNn,Duplex,1Story,5,1963,1963,Gable,CompShg,Wd Sdng,None,TA,CBlock,TA,816,GasA,TA,N,SBrkr,1,2,1,TA,5,Typ,0,CarPort,1963,Unf,2,516,TA,0,WD,Normal,110000
RL,68,50271,Pave,IR1,AllPub,Veenker,Norm,1Fam,1Story,5,1981,1987,Gable,WdShngl,WdShing,None,TA,CBlock,TA,1842,GasA,Gd,Y,SBrkr,0,0,1,Gd,5,Typ,1,Attchd,1981,Fin,3,894,TA,0,WD,Normal,385000
RL,60,7134,Pave,Reg,AllPub,NAmes,Norm,1Fam,SLvl,5,1955,1955,Gable,CompShg,MetalSd,None,TA,CBlock,TA,384,GasA,TA,Y,SBrkr,1,3,1,TA,6,Min1,1,Detchd,1962,Unf,2,572,TA,0,WD,Normal,130000
RL,100,10175,Pave,IR1,AllPub,NAmes,Norm,1Fam,1Story,5,1964,1964,Gable,CompShg,HdBoard,BrkFace,TA,CBlock,TA,1425,GasA,Gd,Y,SBrkr,2,3,1,TA,7,Typ,1,Attchd,1964,RFn,2,576,TA,0,WD,Normal,180500
FV,24,2645,Pave,Reg,AllPub,Somerst,Norm,Twnhs,2Story,5,1999,2000,Gable,CompShg,MetalSd,BrkFace,TA,PConc,TA,970,GasA,Ex,Y,SBrkr,2,3,1,Gd,7,Typ,0,Attchd,1999,Fin,2,480,TA,0,WD,Abnorml,172500
RL,89,11645,Pave,IR1,AllPub,CollgCr,Norm,1Fam,2Story,5,2004,2004,Gable,CompShg,VinylSd,None,TA,PConc,TA,860,GasA,Ex,Y,SBrkr,2,3,1,Gd,7,Typ,0,Attchd,2004,RFn,2,565,TA,0,WD,Normal,196500
RL,66,13682,Pave,IR2,AllPub,StoneBr,Norm,1Fam,2Story,5,2006,2006,Hip,CompShg,VinylSd,BrkFace,TA,PConc,TA,1410,GasA,Ex,Y,SBrkr,3,3,1,Gd,10,Typ,1,BuiltIn,2006,Fin,3,641,TA,0,New,Partial,438780
RL,60,7200,Pave,Reg,AllPub,CollgCr,Norm,1Fam,1Story,7,1972,1972,Gable,CompShg,HdBoard,None,TA,CBlock,TA,780,GasA,Ex,Y,SBrkr,1,2,1,TA,4,Typ,0,Detchd,1973,Unf,1,352,TA,0,WD,Normal,124900
RL,63,13072,Pave,Reg,AllPub,SawyerW,RRAe,1Fam,1Story,5,2004,2004,Gable,CompShg,VinylSd,None,TA,PConc,TA,1158,GasA,Ex,Y,SBrkr,1,3,1,Gd,5,Typ,0,Detchd,2006,Unf,2,576,TA,0,New,Partial,158000
RM,60,7200,Pave,Reg,AllPub,IDOTRR,Norm,1Fam,2.5Unf,7,1920,1996,Gable,CompShg,MetalSd,None,TA,BrkTil,Fa,530,GasA,TA,N,SBrkr,1,3,1,Fa,6,Typ,0,Detchd,1935,Unf,1,288,TA,0,WD,Normal,101000
RL,44,6442,Pave,IR1,AllPub,NridgHt,Norm,TwnhsE,1Story,5,2006,2006,Gable,CompShg,VinylSd,Stone,TA,PConc,Gd,1370,GasA,Ex,Y,SBrkr,2,2,1,Gd,6,Typ,1,Attchd,2006,RFn,2,484,TA,0,WD,Normal,202500
RM,50,10300,Pave,IR1,AllPub,OldTown,RRAn,1Fam,2Story,6,1921,1950,Gable,CompShg,Stucco,None,TA,BrkTil,TA,576,GasA,Gd,Y,SBrkr,2,3,1,TA,9,Typ,0,Detchd,1990,Unf,2,480,TA,0,WD,Normal,140000
RL,NA,9375,Pave,Reg,AllPub,CollgCr,Norm,1Fam,2Story,5,1997,1998,Gable,CompShg,VinylSd,BrkFace,TA,PConc,TA,1057,GasA,Ex,Y,SBrkr,2,3,1,Gd,8,Typ,0,Attchd,1998,RFn,2,645,TA,0,WD,Normal,219500
RL,76,9591,Pave,Reg,AllPub,NridgHt,Norm,1Fam,2Story,5,2004,2005,Gable,CompShg,VinylSd,BrkFace,TA,PConc,TA,1143,GasA,Ex,Y,SBrkr,2,4,1,Gd,9,Typ,1,BuiltIn,2004,RFn,3,852,TA,0,WD,Normal,317000
RL,NA,19900,Pave,Reg,AllPub,NAmes,PosA,1Fam,1Story,5,1970,1989,Gable,CompShg,Plywood,BrkFace,TA,CBlock,TA,1947,GasA,TA,Y,SBrkr,2,3,1,TA,7,Min1,1,Attchd,1970,RFn,2,576,TA,0,WD,Normal,180000
RL,72,10665,Pave,IR1,AllPub,CollgCr,Norm,1Fam,1Story,5,2003,2003,Gable,CompShg,VinylSd,BrkFace,TA,PConc,TA,1453,GasA,Ex,Y,SBrkr,2,3,1,Gd,7,Typ,0,Attchd,2003,RFn,2,558,TA,0,WD,Normal,226000
RM,47,4608,Pave,Reg,AllPub,OldTown,Artery,1Fam,1Story,6,1945,1950,Gable,CompShg,MetalSd,None,Gd,CBlock,TA,747,GasA,TA,Y,SBrkr,1,2,1,TA,4,Typ,0,Attchd,1945,Unf,1,220,TA,0,WD,Normal,80000
RL,81,15593,Pave,Reg,AllPub,ClearCr,Norm,1Fam,1.5Fin,4,1953,1953,Gable,CompShg,BrkFace,None,TA,CBlock,TA,1304,GasW,TA,Y,SBrkr,2,3,1,TA,7,Typ,1,Attchd,1953,Fin,2,667,TA,0,WD,Normal,225000
RL,95,13651,Pave,IR1,AllPub,NAmes,Norm,1Fam,1Story,6,1973,1973,Gable,CompShg,Plywood,BrkFace,Gd,CBlock,TA,2223,GasA,Ex,Y,SBrkr,2,3,1,TA,8,Typ,2,Attchd,1973,Fin,2,516,TA,0,WD,Normal,244000
RL,69,7599,Pave,Reg,AllPub,Mitchel,Norm,1Fam,1Story,6,1982,2006,Gable,CompShg,HdBoard,None,TA,CBlock,TA,845,GasA,TA,Y,SBrkr,1,2,1,TA,4,Typ,0,Detchd,1987,Unf,2,360,TA,0,WD,Normal,129500
RL,74,10141,Pave,IR1,AllPub,Gilbert,Norm,1Fam,2Story,5,1998,1998,Gable,CompShg,VinylSd,BrkFace,TA,PConc,TA,832,GasA,Gd,Y,SBrkr,2,3,1,TA,7,Typ,1,Attchd,1998,Fin,2,427,TA,0,WD,Normal,185000
RL,85,10200,Pave,Reg,AllPub,NAmes,Norm,1Fam,1Story,7,1954,2003,Gable,CompShg,Wd Sdng,BrkFace,TA,CBlock,TA,1086,GasA,Gd,Y,SBrkr,1,3,1,TA,6,Typ,0,Attchd,1989,Unf,2,490,TA,0,WD,Normal,144900
RM,60,5790,Pave,Reg,AllPub,OldTown,Norm,1Fam,2Story,6,1915,1950,Gambrel,CompShg,VinylSd,None,Gd,CBlock,TA,840,GasA,Gd,N,SBrkr,2,3,2,TA,8,Typ,0,Detchd,1915,Unf,1,379,TA,0,WD,Normal,107400
RM,21,1596,Pave,Reg,AllPub,MeadowV,Norm,Twnhs,SLvl,5,1973,1973,Gable,CompShg,CemntBd,None,TA,CBlock,TA,462,GasA,TA,Y,SBrkr,1,2,1,TA,5,Typ,0,BuiltIn,1973,Unf,1,297,TA,0,WD,Normal,91000
RL,NA,8475,Pave,IR1,AllPub,NAmes,Norm,1Fam,1Story,7,1956,1956,Gable,CompShg,VinylSd,None,TA,CBlock,TA,952,GasA,Ex,Y,FuseA,1,2,1,TA,4,Typ,0,Detchd,1956,Unf,1,283,TA,0,WD,Normal,135750
RM,50,8635,Pave,Reg,AllPub,BrkSide,Norm,1Fam,1.5Fin,5,1948,2001,Gable,CompShg,Wd Sdng,None,TA,CBlock,TA,672,GasA,TA,Y,SBrkr,1,2,1,TA,6,Min1,0,Detchd,1948,Unf,1,240,TA,0,WD,Normal,127000
RL,72,10778,Pave,Reg,AllPub,Sawyer,Norm,Duplex,1Story,5,1968,1968,Hip,CompShg,HdBoard,None,TA,CBlock,TA,1768,GasA,TA,N,SBrkr,2,4,2,TA,8,Typ,0,NA,NA,NA,0,0,NA,0,WD,Normal,136500
RM,60,10440,Pave,Reg,AllPub,OldTown,Norm,1Fam,2Story,6,1910,1981,Gable,CompShg,Wd Sdng,None,TA,PConc,TA,440,GasA,Gd,Y,SBrkr,1,2,1,TA,5,Typ,0,Detchd,1966,Unf,2,440,TA,0,WD,Normal,110000
RL,100,13000,Pave,Reg,AllPub,NAmes,Norm,1Fam,2Story,6,1968,1968,Gable,CompShg,VinylSd,BrkFace,Gd,CBlock,TA,896,GasA,TA,Y,SBrkr,2,4,1,Gd,8,Typ,1,Attchd,1968,Fin,1,509,TA,0,WD,Normal,193500
RM,32,4500,Pave,Reg,AllPub,Mitchel,Norm,TwnhsE,1Story,5,1998,1998,Hip,CompShg,VinylSd,BrkFace,Gd,PConc,Gd,1237,GasA,Ex,Y,SBrkr,2,2,1,TA,5,Typ,0,Attchd,1998,Fin,2,405,TA,0,WD,Normal,153500
RL,78,10206,Pave,Reg,AllPub,Somerst,Norm,1Fam,1Story,5,2007,2007,Gable,CompShg,VinylSd,Stone,TA,PConc,TA,1563,GasA,Ex,Y,SBrkr,2,3,1,Gd,6,Typ,1,Attchd,2007,RFn,3,758,TA,0,WD,Normal,245000
RL,80,8892,Pave,IR1,AllPub,NAmes,Norm,1Fam,1Story,5,1960,1960,Gable,CompShg,MetalSd,BrkCmn,TA,CBlock,TA,1065,GasA,Gd,Y,SBrkr,1,3,1,TA,6,Typ,0,Detchd,1974,Unf,2,461,TA,0,COD,Normal,126500
RL,NA,8530,Pave,IR1,AllPub,Gilbert,Norm,1Fam,SLvl,5,1995,1996,Gable,CompShg,HdBoard,BrkFace,TA,PConc,TA,384,GasA,Gd,Y,SBrkr,2,3,1,TA,7,Typ,1,BuiltIn,1995,Fin,2,400,TA,0,WD,Normal,168500
RL,121,16059,Pave,Reg,AllPub,NoRidge,Norm,1Fam,2Story,5,1991,1992,Hip,CompShg,HdBoard,BrkFace,TA,CBlock,TA,1288,GasA,Ex,Y,SBrkr,2,4,1,Gd,9,Typ,1,Attchd,1991,Unf,2,462,TA,0,WD,Normal,260000
RL,122,11911,Pave,IR2,AllPub,Gilbert,Norm,1Fam,2Story,5,2005,2005,Gable,CompShg,VinylSd,None,TA,PConc,TA,684,GasA,Ex,Y,SBrkr,2,3,1,Gd,6,Typ,1,BuiltIn,2005,Fin,2,400,TA,0,WD,Normal,174000
FV,40,3951,Pave,Reg,AllPub,Somerst,Norm,TwnhsE,2Story,5,2009,2009,Gable,CompShg,VinylSd,Stone,TA,PConc,TA,612,GasA,Ex,Y,SBrkr,2,2,1,Gd,4,Typ,0,Detchd,2009,RFn,2,528,TA,0,New,Partial,164500
C (all),105,8470,Pave,IR1,AllPub,IDOTRR,Feedr,1Fam,1.5Fin,2,1915,1982,Hip,CompShg,Plywood,None,Fa,CBlock,Fa,1013,GasA,TA,N,SBrkr,1,2,1,Fa,6,Typ,0,NA,NA,NA,0,0,NA,0,ConLD,Abnorml,85000
RL,60,8070,Pave,Reg,AllPub,CollgCr,Norm,1Fam,1Story,5,1994,1995,Gable,CompShg,VinylSd,None,TA,PConc,TA,990,GasA,Ex,Y,SBrkr,1,3,1,TA,5,Typ,0,NA,NA,NA,0,0,NA,0,WD,Normal,123600
RL,60,7200,Pave,Reg,AllPub,NAmes,Norm,1Fam,1Story,5,1950,1950,Gable,CompShg,BrkFace,None,TA,Slab,NA,0,GasA,TA,Y,FuseA,1,2,1,TA,4,Typ,0,Detchd,1950,Unf,2,420,TA,0,WD,Normal,109900
RL,85,8500,Pave,Reg,AllPub,NAmes,Norm,1Fam,1Story,3,1961,1961,Hip,CompShg,HdBoard,BrkCmn,TA,CBlock,TA,1235,GasA,TA,Y,SBrkr,1,2,1,TA,6,Typ,0,Attchd,1961,Unf,2,480,TA,0,WD,Abnorml,98600
